Gene Names,Cluster label
IGFL1,10
IGFL3,12
IGHMBP2,16
IGSF11,4
IGSF3,15
IGSF5,3
IKBKE,12
IKBKG,16
IKZF3,8
IL10RA,12
IL12RB2,9
IL17C,12
IL17REL,8
IL18BP,11
IL19,2
IL1A,5
IL1RAP,17
IL22RA1,11
IL24,19
IL27,3
IL28A,1
IL3RA,6
IL4I1,20
IL5,3
IL6R,13
IL6ST,2
ILK,8
ILVBL,17
INADL,1
ING2,19
INGX,3
INHBC,1
INO80,19
INPP5F,9
INS,8
INSIG1,20
INSIG2,14
INTS10,14
INTS2,14
INTS9,8
INVS,15
IPF1,10
IQCH,9
IQGAP3,15
IRAK2,12
IRAK4,7
IRF5,13
IRF6,2
IRS4,16
IRX1,17
IRX3,12
ISLR,5
ISYNA1,8
ITFG3,8
ITGA4,14
ITGA6,5
ITGAE,13
ITGB1,13
ITGB1BP1,13
ITGB4,9
ITPRIPL1,11
ITSN1,3
IVD,17
IVNS1ABP,19
JAG1,9
JAG2,5
JAK2,14
JMJD1A,7
JMJD1C,13
JMJD2C,19
JPH2,11
KBTBD3,4
KBTBD8,14
KCNAB2,19
KCNC4,2
KCND1,19
KCNE1L,15
KCNE2,10
KCNG3,10
KCNH2,3
KCNH5,2
KCNH6,9
KCNH7,11
KCNIP1,15
KCNJ14,16
KCNJ9,2
KCNK7,10
KCNMA1,2
KCNMB3,1
KCNN2,20
KCNQ4,9
KCTD11,1
KCTD17,19
KCTD21,16
KCTD6,7
KCTD9,19
KDELR1,8
KDELR3,11
KDM3B,7
KHDC1,10
KHDRBS1,7
KHDRBS3,11
KHK,1
KIAA0101,11
KIAA0182,17
KIAA0240,17
KIAA0261,14
KIAA0284,3
KIAA0319L,17
KIAA0528,13
KIAA0649,11
KIAA0672,12
KIAA0753,19
KIAA0913,8
KIAA1009,16
KIAA1012,13
KIAA1026,11
KIAA1244,19
KIAA1279,5
KIAA1467,1
KIAA1468,14
KIAA1543,2
KIAA1586,20
KIAA1598,13
KIAA1683,8
KIAA1826,14
KIAA1862,12
KIDINS220,14
KIF12,3
KIF18A,4
KIF18B,11
KIF19,16
KIF21A,6
KIF21B,2
KIF6,16
KIR2DL5A,9
KIR3DL1,12
KISS1,19
KITLG,20
KLC2,5
KLC4,1
KLF10,7
KLF11,19
KLF15,1
KLF16,3
KLHDC2,13
KLHDC5,14
KLHDC7B,4
KLHDC9,9
KLHL11,16
KLHL14,5
KLHL20,14
KLHL21,12
KLHL26,16
KLHL5,13
KLHL9,13
KLK1,2
KLK10,1
KLK11,16
KLK7,2
KLK8,11
KLRB1,13
KLRC3,2
KLRD1,13
KLRF1,13
KLRK1,15
KPNA3,7
KPNA5,20
KPNB1,7
KPRP,4
KRCC1,13
KREMEN1,8
KRT1,13
KRT12,2
KRT17,1
KRT20,18
KRT3,17
KRT6C,18
KRT71,10
KRT8,4
KRT80,10
KRT84,9
KRT85,16
KRT9,16
KRTAP1011,17
KRTAP102,2
KRTAP108,1
KRTAP124,1
KRTAP134,15
KRTAP171,10
KRTAP195,19
KRTAP231,5
KRTAP32,3
KRTAP45,11
KRTAP57,5
KTELC1,7
KTN1,5
KYNU,7
L1TD1,19
L3MBTL3,7
LAMA2,3
LAMA3,2
LAMA4,11
LAMB4,19
LARGE,19
LARP1B,2
LARP7,14
LASS6,14
LAT,8
LAYN,15
LCA5L,15
LCAP,1
LCE3B,5
LCORL,3
LCT,10
LDB1,19
LDHC,2
LDHD,2
LDOC1,17
LECT1,8
LELP1,6
LENEP,2
LEPRE1,4
LEPREL1,15
LETMD1,12
LFNG,7
LGALS12,12
LGALS3BP,12
LGR6,11
LHPP,12
LHX3,4
LHX4,16
LHX9,18
LIG3,19
LIM2,11
LIMA1,20
LIMD1,3
LIN37,15
LIPA,13
LIPE,16
LIPK,11
LIPT1,4
LMO3,3
LMOD1,2
LMX1A,3
LOC100008589,13
LOC124220,20
LOC134145,2
LOC151121,2
LOC158381,12
LOC168474,10
LOC200420,4
LOC220115,9
LOC257358,2
LOC283174,1
LOC283874,1
LOC284009,3
LOC285033,1
LOC285359,1
LOC285908,15
LOC374491,20
LOC387646,18
LOC388910,3
LOC388915,10
LOC389816,8
LOC389827,15
LOC400120,6
LOC400464,12
LOC401286,6
LOC401296,3
LOC401589,15
LOC402117,11
LOC440145,4
LOC440354,7
LOC440558,3
LOC440742,9
LOC440925,18
LOC441233,10
LOC441294,19
LOC441376,3
LOC442245,9
LOC493869,20
LOC54103,14
LOC554226,9
LOC554235,9
LOC619207,2
LOC642316,4
LOC643842,10
LOC653216,3
LOC653602,15
LOC653623,4
LOC729164,4
LOC93622,7
LONRF1,14
LONRF3,19
LPA,15
LPAL2,9
LPAR1,11
LPHN1,12
LPIN3,10
LPPR5,15
LRP11,20
LRP5,9
LRP8,4
LRRC10,11
LRRC16,20
LRRC25,13
LRRC26,8
LRRC27,2
LRRC28,8
LRRC3,1
LRRC37B,17
LRRC40,5
LRRC43,16
